Dealer_ID,Dealer_Name,Date,Time,Customer_Name,Customer_Email,Customer_Phone,Customer_City,Car_Brand,Car_Model,Car_Year,Car_Color,Price,Payment_Method,Salesperson_Name,Warranty_Period
23,"Powell, Keller and Fleming",03-08-2024,15:06:13,Alexandra Reese,david42@gmail.com,367-679-6438x5105,South Markview,Audi,Forget,2021,Blue,69974.3,Cash,Joe Parker,4
24,Thompson-Marshall,04-10-2024,19:32:31,John Lowe,william82@johnson.com,448-602-8320x6694,Lake Richardberg,Honda,Interest,2010,White,79851.83,Credit,Danielle Green,4
25,Blevins Inc,15-06-2024,12:33:12,Marie Bond,gloria95@esparza-rogers.com,844.726.0921,West Jennifermouth,Honda,Each,2007,Red,44480.51,Cash,Seth Hughes,2
26,Green-Graves,26-08-2024,09:07:28,Patrick Weaver,smithcynthia@simmons-schmitt.net,6680635995,Fisherfurt,BMW,Week,2003,Black,50148.76,Credit,Chad Smith,3
27,"Fowler, Espinoza and Graves",02-10-2024,08:02:55,Anthony Owen PhD,acardenas@peters-mendoza.com,931-495-1693,New Shawn,Toyota,Her,2020,Silver,79451.66,Cash,Heather Perry,1
28,Noble Group,28-01-2024,05:27:02,Tracey Friedman,lmarshall@hotmail.com,001-532-237-7616x8694,Collinsstad,BMW,Involve,2009,Gray,79841.42,Credit,Teresa Ford,2
29,"Collins, Cooley and Simpson",26-10-2024,22:32:14,Loretta Johnson,craigwillis@osborn-jackson.net,001-489-905-5079x3390,Kristinebury,BMW,Along,2017,White,88992.32,Credit,Robin Tate,1
30,Atkins-Smith,12-05-2024,17:55:22,Steven George,silvakelly@jenkins.biz,+1-728-762-5011x93835,East Sheila,Ford,Physical,2015,Gray,68736.4,Credit,Jamie Robinson DVM,5
31,Johnson-Anderson,09-02-2024,14:49:43,Brian Shepherd,uwallace@rivas.net,463-609-4065x130,Elizabethberg,Audi,Ready,2009,Black,64829.15,Credit,Sonya Cameron,1
32,"Carter, Wells and Patterson",13-03-2024,00:00:09,Dustin Miller,amandaanderson@yahoo.com,891-176-6323x27481,Lake Larryberg,Ford,Agent,2012,Silver,71437.47,Loan,David Webb,2
33,Morris-Spence,03-06-2024,18:57:40,Michael Boyd,nfoley@yahoo.com,001-336-841-5385,Justintown,Toyota,Seven,2021,White,47312.49,Cash,Ryan Thornton,5
34,Blair LLC,31-01-2024,11:05:07,Cynthia Guerrero,james65@hotmail.com,877.451.3615x33824,West Tracy,Honda,Change,2009,Blue,82474.11,Credit,Shannon Haas,5
35,Smith PLC,27-09-2024,22:08:53,Ethan Haney PhD,chase11@bradley.com,272.451.5575x4568,Ericashire,Audi,Discuss,2018,Red,81183.97,Cash,Kristina Turner,5
36,Davis-Christensen,13-06-2024,04:12:25,Michael Tapia,yjacobs@cox.net,+1-469-634-4659x0932,South Brookemouth,Honda,Our,2003,Silver,80551.47,Loan,Jessica Hart,4
37,Alvarado Ltd,23-06-2024,04:18:55,Richard Kaiser,bennettjennifer@gmail.com,(526)303-2394x64658,Diazmouth,Ford,Kind,2012,Silver,59398.77,Loan,Juan Adams,2
38,Allen-Wheeler,09-01-2024,20:38:09,Taylor Rosales,landrews@hotmail.com,538-191-0078x4573,Williamshaven,Toyota,Part,2012,White,92221.35,Loan,Billy West,1
39,Smith and Sons,13-09-2024,00:22:10,Eric Thomas,sarahshaw@dean.com,146-429-1997x96623,Lisafurt,Honda,International,2022,Red,94365.99,Credit,Gregory Thompson,1
40,Gaines-Hughes,31-07-2024,15:03:49,William Cooper,emilycervantes@brown.biz,616680346,South Carolynton,Audi,Nor,2022,Blue,38358.48,Cash,John King,3
41,"Bird, Chen and Nelson",19-09-2024,09:26:02,Dylan Jordan,jennifer35@hutchinson-ruiz.net,001-042-318-4570x51974,Buchananfort,Audi,Say,2002,White,58721.29,Cash,Calvin Santiago,1
42,Campbell Group,05-10-2024,02:08:55,Gregory Parker,kmcfarland@hotmail.com,835-282-9505x2723,Joelville,BMW,Raise,2015,Gray,82222.38,Loan,Ashley Smith,2
43,"Hudson, Wallace and Hebert",28-06-2024,03:00:07,Kirk Kirk,monicathompson@mendoza-dominguez.org,+1-187-420-7170x63333,East Cherylstad,Audi,Daughter,2001,Red,81794.08,Loan,Nicole Parker,3
44,Davis-Perry,16-11-2024,21:13:55,Andre Hernandez,staffordbrittany@gmail.com,+1-878-977-8093x89707,South Derek,Ford,To,2003,Black,26100.38,Loan,Danielle Woods,2
45,"Barker, Cardenas and Frederick",16-01-2024,12:12:12,Jim Henderson,katelyn10@lopez-robertson.org,483.504.4119x85815,Port Donna,Audi,Drug,2019,Black,24062.89,Credit,Andrew Anderson,5
46,Jones Group,26-04-2024,03:32:06,Amanda Kirby,shannonkeith@yahoo.com,3282886814,New Kayla,BMW,Table,2022,Blue,53555.49,Credit,Richard Gaines,1
47,"Ross, Chambers and Benton",25-08-2024,09:38:22,Malik Campos,alejandro93@kelley-moody.com,+1-378-549-4076x071,East Wesleyburgh,Toyota,Science,2018,Black,16890.68,Loan,Rebecca Garrett,2
48,Davis-Herman,21-06-2024,00:55:05,Sarah Anderson,laura75@mcdonald-shepherd.org,650-149-4261,Lake Donald,Ford,Take,2001,Black,72250.79,Loan,Jose Harris,5
49,Rodriguez-Barber,19-04-2024,07:38:48,Kristin Greer,debrabarry@gmail.com,(648)353-7107x3019,Brianberg,Honda,Tv,2021,Black,67189.27,Loan,Lucas Stevens,3
50,Anderson-Kane,09-11-2024,00:59:48,Beth Perez,christopher05@huffman.com,001-639-154-0846,Jeremychester,Toyota,Indeed,2010,Silver,70192.19,Credit,Christina Mayo,2
51,Lopez Group,22-03-2024,09:35:52,William Gonzales,nathanieljones@yahoo.com,331.042.9244,Bennettport,Ford,Significant,2019,Blue,73320.82,Cash,William Howard,1
52,Woodard PLC,03-11-2024,08:18:48,Dawn Horne,jamiegalvan@brown.info,791.360.9281x76070,Lake Michelle,BMW,Could,2011,Red,93884.01,Cash,Tiffany Tran,5
53,Harris-Davis,15-01-2024,16:50:25,Michael Castro,yfranco@yahoo.com,+1-434-012-8160x39191,West Gregoryborough,Honda,Smile,2018,Silver,67076.1,Loan,Mr. Kevin Bruce,2
54,Malone-Murphy,21-05-2024,15:31:55,Calvin Martinez,shannonjonathan@yahoo.com,001-849-461-4544x26140,Port Michaelton,Ford,Vote,2017,White,67964.64,Cash,Joseph Suarez,4
55,"Parker, Gould and Parker",13-07-2024,21:07:44,Kimberly Wilson,jgoodman@yahoo.com,697.165.5675,Foleymouth,BMW,Dog,2018,White,27828.57,Loan,Glenn Hansen,2
56,Webb PLC,21-04-2024,03:48:52,Jared Snyder,mackenzie64@lee-mcdaniel.net,+1-902-011-7506x911,Matthewmouth,BMW,Space,2003,Black,61661.89,Cash,Cynthia Duran,5
57,Robles-Odonnell,20-09-2024,18:29:41,Jessica Simmons,tgallegos@morris-lewis.biz,617.654.6475x880,Kimberlyborough,Toyota,Maintain,2007,Blue,55186.43,Loan,Chad Green,5
58,"Hanson, Johnson and Mejia",24-03-2024,17:14:16,Kari Chandler,ewelch@smith.com,5653537736,Lake Colin,BMW,Wind,2019,Red,34446.33,Credit,Billy Ortiz,4
59,"Sanchez, Larson and Walker",25-08-2024,14:22:27,Patricia Bowman,khayes@hotmail.com,-4960,Lake Julia,BMW,Along,2005,White,32755.94,Loan,Christopher Robinson,5
60,"Woods, Schmidt and Williams",30-08-2024,01:53:27,David Deleon,johnnyarnold@gmail.com,888.446.1346x551,West Debraport,Audi,Identify,2019,Blue,56546.55,Loan,Stephanie Galloway,1
61,Tate LLC,08-05-2024,10:56:17,Ronnie Oliver,browndeborah@hotmail.com,105.796.1533x951,New Kathryn,Honda,Son,2021,Gray,97849.4,Credit,Jaime Cruz,3
62,Kirk-Holloway,27-09-2024,08:54:27,Ashlee Evans,daniel48@gmail.com,931.888.7793x5126,West Gavinmouth,BMW,Religious,2004,Black,15058.1,Credit,Rachel Nash,1
63,"Webb, Terry and Green",30-10-2024,14:13:58,Martha Cummings,davidsmith@yahoo.com,+1-999-889-8607x700,Marcfurt,Audi,Learn,2000,Red,70336.93,Credit,Wayne Castillo,2
64,Patel Ltd,24-10-2024,23:43:45,Francisco Johnson,juliewhite@hansen-delacruz.org,173.152.3471x70421,Ashleyfort,Toyota,Others,2018,White,29005.99,Credit,Martha Nichols,3
65,"Jackson, Sandoval and Hamilton",05-08-2024,01:44:43,Kenneth Berry,sellis@higgins.com,656.713.7397,East Ryantown,Audi,National,2007,Silver,66963.72,Loan,Jose Smith,5
66,Gardner LLC,26-04-2024,15:18:13,Scott Williams,michelle39@adams-nguyen.org,001-738-188-2360x1949,West Lucas,BMW,Less,2006,Red,38807.02,Cash,Alexandra Woods,5
67,Davis PLC,29-03-2024,11:56:39,Dan Richardson,weekscynthia@cooper-smith.com,001-903-743-3651x066,Crawfordhaven,Honda,Few,2004,Red,93910.59,Cash,Brandon Spencer,1
68,Padilla-Murphy,14-09-2024,08:06:28,Maria Barnes,ibush@yahoo.com,830-960-6750x8437,Port Charles,BMW,Read,2003,Red,43224.9,Credit,Jennifer Young,3
69,Moore Group,21-10-2024,18:01:48,Steven Turner,rogerssharon@gmail.com,124-857-7783x530,New Jason,Honda,Drug,2005,Silver,24063.59,Cash,Shawna Matthews,5
70,"Sanchez, Dickerson and Mcknight",30-04-2024,03:37:44,David Gibson,robertstara@gmail.com,001-489-122-3595x50527,Millermouth,Toyota,Tell,2020,White,67032.47,Credit,Casey Allen,3
71,Colon-Carter,25-04-2024,04:37:44,Tina Zamora,fuentesmatthew@greene.com,179.964.4606,West Justin,Audi,Rich,2004,Red,60321.44,Loan,Tiffany Watkins,4
72,"Villegas, Smith and Hanson",12-05-2024,02:07:41,Mrs. Kayla Murray,cheryl34@hotmail.com,001-777-767-8369x24279,North Erikmouth,Toyota,Decade,2008,Red,42380.4,Cash,Corey Higgins,1
73,Valdez Ltd,12-09-2024,10:59:51,James Nguyen,yhuynh@johnson.com,142.747.4767,Harrisview,BMW,Behind,2002,Silver,29336.83,Credit,Luke Moore,2
74,Jordan-Berg,13-06-2024,21:28:39,Tyler Levy,duaneboyd@gmail.com,317.907.8482,Port Edgar,BMW,Own,2003,Black,42844.91,Credit,Donna Murphy,4
75,"Hall, Carter and Cooper",01-03-2024,07:33:46,Krystal Odonnell,huntcarlos@yahoo.com,001-683-069-8934x592,New Craigmouth,Audi,More,2006,Gray,69887.18,Cash,Janet Anderson MD,1
76,"Brooks, Delacruz and Sullivan",09-08-2024,17:00:27,Alexander Cruz,hodgesjames@mueller.com,(275)303-4039,Lindaborough,Toyota,Quite,2013,Blue,45028.46,Credit,Andrea Johnson,2
77,Henderson-Cortez,25-09-2024,06:17:11,Robin Clark,brittanyorozco@yahoo.com,(350)887-5261x6440,Carolview,Ford,Tree,2009,Red,64739.13,Credit,Michelle Armstrong,2
78,Powers-Mcneil,07-10-2024,16:12:35,Kayla Ramos,epierce@yahoo.com,(713)160-1235x1807,Mannville,Toyota,Audience,2006,Gray,78564.05,Credit,Raymond Harrison,1
79,Miller LLC,01-07-2024,03:12:44,Teresa Lewis,hensleymichelle@ewing.org,(133)145-4902x8696,Sarahmouth,Ford,Material,2011,Gray,68554.06,Credit,Daniel Padilla,2
80,Reyes Group,05-03-2024,03:36:23,Joseph Petty,denise78@yahoo.com,001-708-247-0161x314,Angelashire,Toyota,Possible,2014,Gray,77331.98,Cash,Michael Parsons,2
81,Payne-Smith,26-03-2024,11:24:01,Jessica Bennett,santosmelvin@cooper.com,+1-854-077-1230x869,South Douglas,Honda,Get,2009,Black,53163.05,Loan,Kevin Myers,3
82,Robinson-Bass,16-07-2024,09:21:42,John Luna,dylan27@hotmail.com,293.328.4097,Adamsborough,Ford,Few,2015,Gray,86014.83,Credit,Jessica Shields,5
83,King Ltd,13-04-2024,06:24:04,Danielle Allen,rachael32@walton.com,7733421733,Kaylachester,BMW,Reveal,2018,Blue,83035.48,Cash,Carla Wells,4
84,"Romero, Garcia and Patterson",06-01-2024,22:52:39,Stephanie Harris,igarrett@gmail.com,(565)101-7527x12949,Lake Michael,BMW,The,2018,Black,85238.17,Cash,John Miles,1
85,"Perry, Carter and Powell",28-07-2024,07:24:07,Michele Bennett,wilsonwalter@jones.com,881-503-2745x17597,New Darren,Honda,Process,2020,Gray,25884.29,Cash,Patricia Hanson,5
86,Acosta-Patterson,03-05-2024,18:50:42,Joseph Patton,curtismark@gmail.com,(502)798-9787,Robertton,BMW,American,2010,Silver,75687.91,Loan,Patrick Gutierrez,2
87,Thomas PLC,21-02-2024,15:18:34,Cody Townsend,harrismelinda@hotmail.com,631.397.2729x203,Jenniferfort,Ford,What,2018,White,90796.03,Credit,Katherine Huffman,1
88,Hood Inc,11-02-2024,20:07:58,Jesse Wilson,david43@yahoo.com,+1-460-706-9373x814,East Renee,Toyota,Technology,2012,White,22860.99,Cash,Michelle Noble,3
89,Matthews-Ferguson,09-09-2024,19:17:39,Cynthia Franklin,twilson@yahoo.com,001-826-253-6908x188,East Evanton,Audi,Author,2005,Blue,49028.22,Credit,Nancy Robertson,2
90,Morgan and Sons,10-07-2024,13:04:28,Nancy Craig,aimee31@berry.com,039.893.6632,West Michael,Toyota,Follow,2001,Silver,81648.18,Cash,Carrie Smith,3
91,Riley Ltd,07-09-2024,10:50:59,Katherine Wilson,fgonzales@gmail.com,001-914-509-6435,Port Dawnberg,Honda,Continue,2005,White,31509.96,Cash,Bill Harper,2
92,Rodriguez LLC,13-11-2024,00:48:59,Becky Miller,obrienmegan@steele.com,000-539-3481x31771,Dennisstad,Honda,National,2017,Gray,28000.17,Credit,John Gray,1
93,Nichols and Sons,26-04-2024,11:58:22,Robert Myers,bakersherri@yahoo.com,(474)505-4352x190,Port Joshua,Audi,Physical,2011,White,15882.47,Credit,Shane Rose,5
94,"Powers, Harvey and Alexander",10-05-2024,15:59:04,Paige Price,natalie08@garcia-owen.net,001-955-518-3407,Hardinfurt,Toyota,Position,2002,White,72526.1,Credit,Susan Reyes,1
95,Young LLC,18-08-2024,02:57:39,Kimberly Potter,madams@gmail.com,043.684.5455,Guerreroport,Ford,Much,2022,Gray,67193.94,Loan,Joseph Mack,3
96,Tapia PLC,14-05-2024,04:43:03,Kyle Lambert,bowmanjohn@hotmail.com,6195789838,Elliottmouth,Ford,Institution,2023,Red,33539.78,Cash,Charles Jones,1
97,"Murphy, Jackson and Collins",17-03-2024,13:25:23,James Ramos,charlesperez@hotmail.com,367-588-8275x36185,New Leslie,Toyota,Detail,2010,White,48456.83,Loan,Alexa Dyer,5
98,Keller LLC,14-07-2024,03:19:34,Derrick Johnson,austinfuller@yahoo.com,+1-292-316-6027x4894,West Michaelview,Audi,Could,2014,Red,52231.46,Loan,Gregory Mcdonald,5
99,Ward-Harmon,06-08-2024,14:31:42,Clifford Simpson,jill84@yahoo.com,(439)922-2123,Steveview,BMW,Rise,2015,Red,80577.18,Cash,John Anderson,3
100,Fletcher-Moses,23-10-2024,13:07:18,Laura Kennedy,pamelaharrison@clark-owens.biz,001-447-168-3286x454,West Zachary,BMW,Present,2012,Black,18349.32,Loan,Krista Booker,3
101,Ball Group,21-09-2024,19:58:56,Joy Wall,hernandezcristina@russo-porter.com,(188)229-8565x58286,Hartshire,Toyota,None,2009,Silver,25769.18,Credit,Jacqueline Sanders,5
102,"Gill, Green and Dyer",13-09-2024,22:58:49,Nicole Love,rhondaparks@gmail.com,1881425978,Reyesfort,BMW,Lot,2008,Silver,95906.53,Cash,Valerie Hunter,3
103,Hutchinson-Pacheco,05-09-2024,06:28:22,Diana Sullivan,colevelasquez@yahoo.com,(163)073-6758,New Cristinaborough,Audi,Ok,2019,Black,20355.62,Cash,Gail Howard,5
104,Torres and Sons,08-04-2024,23:31:32,Matthew Stout,cheryl82@yahoo.com,035.124.8038x015,North Katie,Audi,President,2002,Blue,22522.76,Loan,Paul Henderson,5
105,Huang Group,02-03-2024,21:10:43,Nathan Wood,ehughes@barrett.org,+1-209-417-4516x22663,Lake Jamesland,Ford,Board,2019,Red,87112.23,Credit,Lauren Frazier,3
106,"Pearson, Whitney and Chan",14-10-2024,08:18:44,Nancy Wolfe,marc79@gmail.com,766-100-8118x5203,East Dawn,Audi,Series,2023,Black,92037.85,Credit,Michael Hill,3
107,Lopez-James,17-10-2024,14:23:28,Donald Reeves,floressamuel@murray.com,5288854389,Garciabury,Toyota,Natural,2011,Silver,94600.86,Loan,Clarence Johnson,1
108,Cross Inc,02-04-2024,19:08:27,Alvin Smith,johnsoncourtney@house-bernard.info,494.363.8765x8194,Fosterfort,BMW,Catch,2009,Silver,51799.35,Credit,Laura Martinez,4
109,"White, Carney and Lynch",07-11-2024,11:58:52,Tony Butler,brendaherman@gmail.com,142.993.0704x937,North Eric,Audi,Certain,2000,Silver,89206.46,Loan,Erica Cunningham,5
110,"Collins, Chapman and Villanueva",28-03-2024,18:30:07,Meagan Browning,juan64@gmail.com,813.772.2270x615,East Charles,Honda,Key,2018,White,86566.79,Cash,Aaron Jones,2
111,Deleon Ltd,29-06-2024,19:35:06,Marisa Herrera,gortega@james.com,020.950.6548,South Michaelshire,BMW,Provide,2021,Red,46952.2,Loan,Tabitha Carlson,2
112,"Carter, Shelton and Brandt",01-10-2024,16:32:21,Alexandra Rowe,cliffordmitchell@king.net,+1-707-599-6919x95016,Ericksonchester,BMW,Short,2014,Red,94852.33,Credit,Patrick Anderson DDS,2
113,Edwards-Martin,13-03-2024,04:09:11,Kristen Lee,stewartpaul@hotmail.com,248-939-1490x105,Lake Ericburgh,BMW,Under,2014,White,41547.89,Credit,Kristin Murphy,5
114,Harper-Murphy,01-01-2024,12:34:33,Jennifer Smith,mcarson@nelson.com,-3073,West Angela,Audi,Four,2014,Silver,27306.07,Loan,Nancy White,2
115,Hicks-Foster,04-06-2024,19:47:24,Joshua Miller,jaredchavez@torres-elliott.com,+1-635-788-0848x84800,New Kimberly,Audi,Usually,2012,Silver,98900.65,Cash,Jennifer Foley,1
116,"Morris, Molina and Hall",15-02-2024,04:49:48,Deborah Mendoza,nlloyd@hotmail.com,-551,East Samuelland,Toyota,Fish,2021,Black,27627.49,Cash,James James,1
117,Perez Ltd,22-01-2024,16:28:25,Amber Padilla,johnsontaylor@williams-davis.com,8790524489,Lake Joshuaport,Audi,Ok,2008,Black,54520.64,Credit,Mary Jones,1
118,"Dudley, Turner and Spencer",18-11-2024,15:42:34,Judy Martin,twalters@gmail.com,374.959.2148,Petersenstad,BMW,Can,2017,White,59498.01,Credit,Stephanie Bates,5
119,Hendricks-Peters,01-07-2024,16:01:42,Raymond Marsh,daniel67@hunt.org,235-510-8869x337,East Melinda,Honda,Rule,2022,Silver,34749.83,Cash,Justin Phelps,3
120,"Sanchez, Lopez and Potter",18-02-2024,00:34:02,Andrew David,christina85@smith-huynh.net,001-571-142-7134x866,North Loritown,Honda,Number,2009,Gray,62506.88,Cash,Benjamin Shea,4
121,Mathis-Gould,01-01-2024,00:38:25,Jacob Stout,sherikelley@brown.info,045.559.3326,South Jeffreychester,Honda,Open,2004,Gray,52862.06,Credit,Sean Lawrence,3
122,"Kelley, Bentley and Delgado",04-08-2024,13:44:17,Mary Hunter,arthurchambers@lee-boyd.net,617-146-1675,West Hunterport,BMW,Political,2003,Blue,44619.49,Loan,Jennifer Robinson,3
123,"Delgado, Mccullough and Nichols",21-07-2024,14:27:43,Tony Wade,kelleyanna@ross.com,(555)265-5093x68974,South Chelsey,Honda,Participant,2023,Black,94275.48,Loan,Katelyn Johnson,5
124,"Nguyen, Bell and Lopez",22-01-2024,01:43:04,Rita Hill,todd05@yahoo.com,(629)341-0426,Carrillobury,BMW,Radio,2015,Blue,42398.54,Credit,Tammy Williams,2
125,"Brooks, Lewis and Santana",19-03-2024,10:51:47,Christopher Torres,martineztristan@hotmail.com,124.017.8779x381,Jesuston,Ford,Message,2001,Silver,17165.48,Credit,Jeffrey Henderson,3
126,"Ryan, Figueroa and Smith",24-01-2024,05:24:27,Jordan Kim,robert30@yahoo.com,298.917.3814,Aliciashire,BMW,Animal,2013,Blue,78746.88,Loan,Joshua Lam,4
127,Coleman-Duke,24-03-2024,17:40:36,Johnathan Andrews,garciarhonda@yahoo.com,167.437.7270,Carolineport,BMW,Especially,2000,Blue,74729.4,Credit,Gloria Bell,4
128,Johns-Jones,26-07-2024,04:04:42,Matthew Lawrence,stacyford@white-coleman.com,293-424-4797x97323,South Danielleville,Honda,Agent,2011,Red,20634.88,Loan,Christopher Jenkins,5
129,Shea-Miller,12-02-2024,06:30:23,Cristina Stewart,jonesterri@yahoo.com,468-749-6457x0962,Robinsonton,Audi,Character,2008,Blue,32999.35,Credit,David Owens,2
130,Dean Group,14-07-2024,04:57:43,Danny Taylor,mroberts@clark-potter.net,073-265-3984,West Marissaland,Honda,Chair,2005,Silver,82137.87,Cash,Jamie Adams,4
131,"Liu, Delgado and Bowers",31-10-2024,09:26:10,Isaac Molina,jerry77@yahoo.com,012.590.9420x7885,Lake Andreahaven,Toyota,Nation,2022,Red,59068.76,Credit,Ruth Arnold,2
132,Pena-Clark,29-03-2024,06:36:56,Bruce Lutz,hessstacey@mcintyre-fox.com,483.843.7733x7547,New Susanland,BMW,Think,2015,Red,79142.49,Loan,Jennifer Ross,3
133,"Mcintosh, King and Gonzalez",08-05-2024,08:24:27,Jennifer Sullivan,kwashington@mccann.com,055.858.5593,Port Christineberg,Honda,Likely,2002,Silver,83140.74,Credit,Jessica Sims,1
134,Lewis Inc,07-06-2024,20:23:03,Taylor Williams,xbutler@yahoo.com,(791)633-3863x53482,Shannonmouth,Ford,Woman,2012,White,31867.78,Cash,Steven Walker,5
135,Robbins PLC,23-01-2024,17:27:17,John Sanders,qcook@hicks.net,001-737-310-3631x94321,New Derricktown,Honda,Answer,2001,Blue,30545.88,Cash,Valerie Lee DVM,5
136,Wolfe-Koch,11-08-2024,19:59:48,Andrew Whitehead,rosswarner@wu-oconnell.com,+1-718-993-6342x84107,Sosatown,Toyota,Source,2004,Black,99562.07,Loan,Julia Mccarthy,5
137,"Reid, Delgado and Baker",30-09-2024,01:51:10,Ruth Christian,paul37@gmail.com,(434)041-5317,Troymouth,Audi,Difficult,2005,White,47847.84,Credit,Kyle West,5
138,"Gross, Shaffer and Klein",01-01-2024,03:11:18,Barbara Wilson,nmartinez@roman.biz,014.607.0031x02154,Nancyberg,Ford,Media,2014,Red,43849.99,Credit,Isabel Alvarado,5
139,"Howard, Dillon and Stone",27-05-2024,23:16:49,Matthew King,alexandersimmons@rivera-melendez.com,300.491.7184x76390,Connieborough,BMW,Evening,2001,Red,47713.7,Cash,Isabel Mitchell DDS,1
140,Rodriguez LLC,15-11-2024,15:41:22,Tanya Thomas,george82@gmail.com,489.212.4461,Thomasview,Audi,Human,2018,White,23203.01,Credit,Jamie Lawrence,4
141,Anderson-Simon,25-06-2024,05:35:32,Nathaniel Martinez,donna57@cain.com,716.289.2457,Port Lisachester,Audi,Hair,2001,Black,84751.54,Loan,John Patel,4
142,Alvarez Group,14-07-2024,19:53:08,Michael Luna,roger83@yahoo.com,001-486-678-8949x658,West Adamhaven,BMW,Change,2007,White,71228.42,Loan,Casey Dominguez,5
143,Martinez Group,01-04-2024,21:48:44,Jeanette Jones,bherring@ayers.com,6001061292,Samuelberg,BMW,Front,2007,Red,82747.42,Credit,Cynthia Russell,4
