Transaction_ID,Date,Time,Customer_Name,Mobile_Brand,Model,Price,Quantity,Payment_Method,Salesperson_Name,Store_Location,Warranty_Years,Accessories_Purchased,Customer_Feedback,Discount_Applied
113,2024-03-20,10:33:00,John Doe,Oppo,A78,1058.9,3,Cash,Claire Williams,Midtown,3,Screen Protector,5,175.05
114,2024-07-22,13:24:00,Sarah Black,Vivo,X100 Pro,384.74,3,Online,Emma Brown,Downtown,2,Screen Protector,3,169.12
115,2024-07-26,12:32:00,Alice Green,Xiaomi,Mi 13 Ultra,1205.45,1,Card,Alice Smith,Uptown,2,Headphones,3,109.29
116,2024-08-26,20:45:00,Sarah Black,Vivo,Y200,1154.04,1,Online,Alice Smith,Uptown,3,None,2,57.25
117,2024-10-09,13:17:00,Mike Brown,Xiaomi,Redmi Note 13,464.45,3,Card,Bob Johnson,Downtown,3,None,3,75.71
118,2024-07-14,19:57:00,Alice Green,Xiaomi,Poco X5 Pro,1041.05,3,Online,Emma Brown,Midtown,2,None,4,95.87
119,2024-07-10,19:55:00,Jane Smith,OnePlus,OnePlus Ace,618.97,2,Cash,Claire Williams,Suburban,1,Screen Protector,3,185.18
120,2024-03-20,16:51:00,Mike Brown,Apple,iPhone 14,1191.79,2,Cash,Claire Williams,Downtown,1,Screen Protector,3,6.5
121,2024-07-11,18:22:00,Jane Smith,OnePlus,OnePlus Ace,535.41,3,Online,Claire Williams,Midtown,2,Headphones,4,31.29
122,2024-04-16,12:56:00,John Doe,Vivo,V29 Pro,574.26,1,Online,Emma Brown,Midtown,3,Headphones,4,146.39
123,2024-03-13,19:53:00,Sarah Black,Xiaomi,Mi 13 Ultra,1005.94,2,Cash,Emma Brown,Uptown,3,None,3,187.3
124,2024-02-10,20:01:00,Sarah Black,Vivo,X100 Pro,622.18,3,Cash,Claire Williams,Uptown,3,Charger,1,177.76
125,2024-04-26,15:10:00,Alice Green,Vivo,X100 Pro,444.54,2,Cash,Alice Smith,Midtown,1,Charger,1,167.78
126,2024-01-21,20:35:00,John Doe,Vivo,Y200,1170.01,1,Card,Claire Williams,Downtown,3,Charger,1,138.21
127,2024-09-22,18:37:00,Jane Smith,Apple,iPhone 14,1238.65,3,Online,Emma Brown,Midtown,3,Screen Protector,3,97.63
128,2024-07-25,14:51:00,John Doe,Xiaomi,Poco X5 Pro,1124.47,3,Online,David Lee,Suburban,2,Screen Protector,4,115.78
129,2024-01-28,19:00:00,Bob White,Apple,iPhone 15 Pro,890.95,3,Card,Bob Johnson,Uptown,1,Charger,4,164.23
130,2024-10-29,10:20:00,Bob White,Oppo,A78,898.06,2,Online,David Lee,Suburban,1,Headphones,4,80.68
131,2024-08-13,14:31:00,Jane Smith,Xiaomi,Mi 13 Ultra,327.3,2,Cash,Emma Brown,Downtown,1,Headphones,4,54.86
132,2024-09-07,19:57:00,Bob White,Oppo,A78,512.59,2,Card,David Lee,Midtown,2,Headphones,3,107.33
133,2024-02-15,10:27:00,Sarah Black,Xiaomi,Mi 13 Ultra,818.82,2,Card,Alice Smith,Suburban,2,Charger,2,13.37
134,2024-11-29,17:47:00,John Doe,Xiaomi,Mi 13 Ultra,745.42,2,Online,Emma Brown,Downtown,1,None,3,149.34
135,2024-02-21,11:14:00,Jane Smith,Samsung,Galaxy S23,1296.84,1,Card,Emma Brown,Uptown,2,Screen Protector,1,135.7
136,2024-07-31,15:15:00,Alice Green,Apple,iPhone SE 2024,1189.68,1,Card,Alice Smith,Midtown,3,Screen Protector,5,154.77
137,2024-03-29,20:16:00,Alice Green,Oppo,Find X6 Pro,622.01,2,Cash,Emma Brown,Downtown,3,Charger,2,12.84
138,2024-07-30,13:18:00,John Doe,Xiaomi,Mi 13 Ultra,700.19,2,Card,Alice Smith,Uptown,1,None,3,63.55
139,2024-11-07,16:11:00,Bob White,Apple,iPhone SE 2024,403.79,3,Cash,Emma Brown,Midtown,1,Screen Protector,5,80.08
140,2024-03-03,11:25:00,Bob White,Oppo,Find X6 Pro,908.14,1,Online,David Lee,Suburban,3,Charger,4,12.68
141,2024-05-31,19:33:00,Jane Smith,OnePlus,OnePlus 11,631.65,3,Cash,Alice Smith,Downtown,1,Screen Protector,2,116.7
142,2024-11-09,15:39:00,Jane Smith,Samsung,Galaxy S23,1136.1,2,Online,David Lee,Downtown,1,Headphones,5,35.14
143,2024-01-30,14:57:00,Mike Brown,OnePlus,OnePlus 11,724.43,2,Card,David Lee,Downtown,3,None,3,102.98
144,2024-06-25,17:45:00,Alice Green,Oppo,Find X6 Pro,1243.01,1,Cash,David Lee,Uptown,3,None,1,12.64
145,2024-05-24,16:23:00,Sarah Black,Apple,iPhone 15 Pro,832.29,2,Cash,Claire Williams,Midtown,3,None,2,30.95
146,2024-03-24,12:50:00,Sarah Black,OnePlus,OnePlus 11,777.53,2,Card,Alice Smith,Uptown,3,Charger,4,132.53
147,2024-11-02,15:42:00,Sarah Black,Vivo,X100 Pro,518.71,2,Card,Emma Brown,Uptown,2,Screen Protector,3,52.01
148,2024-06-14,18:22:00,Mike Brown,Oppo,Reno 10,659.84,1,Cash,Alice Smith,Downtown,1,Charger,5,78.1
149,2024-11-10,12:21:00,Jane Smith,Xiaomi,Redmi Note 13,505.93,3,Online,Emma Brown,Uptown,3,None,3,162.47
150,2024-01-29,11:47:00,Bob White,Vivo,Y200,983.65,2,Cash,Emma Brown,Uptown,1,Headphones,2,166.33
151,2024-04-19,16:46:00,John Doe,OnePlus,Nord CE 3 Lite,508.34,1,Card,David Lee,Downtown,1,Charger,5,192.28
152,2024-08-25,13:57:00,Sarah Black,Apple,iPhone SE 2024,593.49,1,Online,David Lee,Suburban,2,Headphones,1,127.47
153,2024-09-05,16:23:00,Jane Smith,Xiaomi,Poco X5 Pro,1312.11,1,Online,Emma Brown,Uptown,2,Headphones,4,41.98
154,2024-04-04,15:09:00,Sarah Black,Samsung,Galaxy Z Fold 5,827.86,3,Online,Claire Williams,Uptown,3,Headphones,4,139.96
155,2024-10-23,15:28:00,Sarah Black,Oppo,A78,1014.74,3,Online,Emma Brown,Downtown,1,Screen Protector,3,19.97
156,2024-07-04,12:34:00,Alice Green,Xiaomi,Poco X5 Pro,528.01,2,Online,Alice Smith,Midtown,2,Screen Protector,2,74.31
157,2024-05-29,13:53:00,Alice Green,Oppo,Find X6 Pro,755.71,1,Card,Bob Johnson,Suburban,2,Screen Protector,2,76.86
158,2024-02-18,11:43:00,John Doe,Samsung,Galaxy S23,1213.74,3,Cash,Claire Williams,Midtown,1,Charger,5,97.62
159,2024-06-24,16:17:00,Alice Green,Apple,iPhone 15 Pro,316.99,3,Cash,Alice Smith,Uptown,2,Headphones,2,114.66
160,2024-05-16,20:43:00,Alice Green,Apple,iPhone SE 2024,515.71,3,Card,Alice Smith,Midtown,1,Headphones,1,108.66
161,2024-02-16,13:05:00,Sarah Black,Samsung,Galaxy S23,371.74,3,Card,Bob Johnson,Suburban,2,Charger,4,32.77
162,2024-06-15,19:52:00,Mike Brown,Xiaomi,Mi 13 Ultra,531.84,2,Card,Emma Brown,Uptown,3,None,1,122.87
163,2024-07-11,12:11:00,John Doe,Samsung,Galaxy Z Fold 5,491.2,3,Online,Claire Williams,Downtown,2,None,1,151.54
164,2024-11-04,09:41:00,Bob White,Apple,iPhone SE 2024,437.48,3,Card,Emma Brown,Downtown,3,Charger,3,73.35
165,2024-09-22,09:46:00,Mike Brown,OnePlus,OnePlus 11,506.7,3,Cash,Emma Brown,Midtown,3,Headphones,1,13.02
166,2024-12-10,09:33:00,Jane Smith,Samsung,Galaxy S23,353.07,1,Cash,Alice Smith,Midtown,3,None,2,67.85
167,2024-12-05,15:04:00,Mike Brown,Oppo,A78,243.44,3,Card,Alice Smith,Suburban,3,Screen Protector,1,179.03
168,2024-12-23,15:46:00,John Doe,OnePlus,OnePlus Ace,481.98,3,Online,Emma Brown,Downtown,2,None,1,16.42
169,2024-04-12,09:47:00,John Doe,Xiaomi,Mi 13 Ultra,1490.64,3,Cash,Bob Johnson,Midtown,1,None,5,148.63
170,2024-11-16,15:21:00,Mike Brown,OnePlus,OnePlus 11,314.24,2,Cash,Bob Johnson,Downtown,2,Screen Protector,5,55.02
171,2024-11-09,14:20:00,Jane Smith,OnePlus,OnePlus 11,995.68,1,Card,Claire Williams,Uptown,3,Screen Protector,2,100.26
172,2024-12-24,17:24:00,Sarah Black,Samsung,Galaxy S23,752.35,3,Cash,Bob Johnson,Midtown,1,Charger,3,175.8
173,2024-02-07,18:06:00,Sarah Black,OnePlus,OnePlus Ace,971.9,1,Online,Alice Smith,Uptown,2,Headphones,1,27.75
174,2024-12-30,18:20:00,Jane Smith,Samsung,Galaxy A14,460.48,3,Online,Bob Johnson,Downtown,1,Charger,4,152.42
175,2024-06-07,18:25:00,Mike Brown,Apple,iPhone SE 2024,1100.74,2,Online,Claire Williams,Suburban,3,Screen Protector,3,184.39
176,2024-10-08,16:07:00,Jane Smith,Apple,iPhone 14,203.07,1,Online,David Lee,Uptown,1,Screen Protector,1,120.0
177,2024-04-11,20:08:00,John Doe,Oppo,A78,894.42,2,Online,Emma Brown,Uptown,1,Headphones,4,103.52
178,2024-03-01,09:08:00,Mike Brown,OnePlus,OnePlus 11,489.84,3,Online,Emma Brown,Downtown,2,Headphones,3,43.32
179,2024-10-25,19:10:00,Mike Brown,Apple,iPhone SE 2024,744.74,2,Cash,Emma Brown,Downtown,1,Charger,5,69.13
180,2024-01-25,09:10:00,Sarah Black,Xiaomi,Mi 13 Ultra,1141.17,1,Cash,Claire Williams,Uptown,1,Screen Protector,5,43.61
181,2024-05-08,10:47:00,Mike Brown,Oppo,A78,525.1,3,Card,Claire Williams,Suburban,2,Charger,4,198.34
182,2024-01-17,16:54:00,Jane Smith,Samsung,Galaxy A14,614.87,3,Cash,Bob Johnson,Suburban,1,None,5,53.0
183,2024-12-09,20:57:00,Sarah Black,Vivo,Y200,721.88,3,Online,Emma Brown,Uptown,1,Charger,3,169.5
184,2024-05-25,10:08:00,Mike Brown,Samsung,Galaxy Z Fold 5,1369.29,3,Cash,Alice Smith,Downtown,2,Headphones,1,27.98
185,2024-12-09,12:00:00,Mike Brown,Oppo,Reno 10,469.61,3,Online,Alice Smith,Uptown,3,Headphones,3,187.14
186,2024-01-07,13:45:00,Jane Smith,Samsung,Galaxy Z Fold 5,369.58,1,Online,David Lee,Uptown,1,Charger,3,116.27
187,2024-01-23,11:47:00,Alice Green,Oppo,Find X6 Pro,228.5,1,Online,David Lee,Midtown,3,Charger,3,177.51
188,2024-01-30,09:32:00,Jane Smith,OnePlus,OnePlus Ace,448.24,1,Online,Alice Smith,Downtown,3,Charger,4,188.73
189,2024-07-26,12:31:00,Mike Brown,Oppo,Find X6 Pro,617.95,2,Card,Claire Williams,Suburban,3,None,5,29.83
190,2024-12-03,11:12:00,Jane Smith,Oppo,Find X6 Pro,252.55,3,Cash,Bob Johnson,Uptown,1,Screen Protector,2,110.01
191,2024-04-17,13:41:00,Mike Brown,Apple,iPhone 14,495.18,3,Cash,Alice Smith,Uptown,3,None,5,87.19
192,2024-11-03,15:02:00,Jane Smith,OnePlus,OnePlus 11,579.48,3,Online,Alice Smith,Downtown,2,Headphones,1,87.96
193,2024-10-04,10:24:00,Mike Brown,Samsung,Galaxy Z Fold 5,550.34,1,Online,David Lee,Suburban,1,None,1,43.69
194,2024-10-07,14:09:00,John Doe,Vivo,X100 Pro,1366.99,2,Cash,Alice Smith,Downtown,3,Charger,5,20.81
195,2024-11-17,13:07:00,Jane Smith,OnePlus,Nord CE 3 Lite,872.56,1,Card,Emma Brown,Suburban,3,Headphones,3,30.04
196,2024-01-27,10:20:00,Bob White,Apple,iPhone 15 Pro,534.92,1,Online,Bob Johnson,Downtown,2,Charger,1,84.65
197,2024-12-01,18:20:00,Jane Smith,Samsung,Galaxy A14,1496.01,3,Online,Bob Johnson,Downtown,1,Headphones,3,79.69
198,2024-06-05,16:30:00,Mike Brown,Oppo,A78,992.03,2,Online,David Lee,Downtown,2,Screen Protector,4,199.16
199,2024-04-30,17:29:00,Mike Brown,Samsung,Galaxy A14,484.63,3,Card,David Lee,Downtown,1,Charger,4,117.2
